% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.712	1	1	72	3	1	0	85	0
0.405	1	1	41	6	1	0	85	0
0.713	1	1	72	4	1	0	85	0
0.406	1	1	41	7	1	0	85	0
0.714	1	1	72	5	1	0	85	0
0.407	1	1	41	8	1	0	85	0
0.715	1	1	72	6	1	0	85	0
0.561	1	1	57	2	1	0	85	0
0.408	1	1	41	9	1	0	85	0
0.716	1	1	72	7	1	0	85	0
0.409	1	1	41	10	1	0	85	0
0.717	1	1	72	8	1	0	85	0
0.41	1	1	42	1	1	0	85	0
0.718	1	1	72	9	1	0	85	0
0.411	1	1	42	2	1	0	85	0
0.719	1	1	72	10	1	0	85	0
0.412	1	1	42	3	1	0	85	0
0.72	1	1	73	1	1	0	85	0
0.413	1	1	42	4	1	0	85	0
0.562	1	1	57	3	1	0	85	0
0.721	1	1	73	2	1	0	85	0
0.563	1	1	57	4	1	0	85	0
0.414	1	1	42	5	1	0	85	0
0.722	1	1	73	3	1	0	85	0
0.564	1	1	57	5	1	0	85	0
0.415	1	1	42	6	1	0	85	0
0.723	1	1	73	4	1	0	85	0
0.565	1	1	57	6	1	0	85	0
0.416	1	1	42	7	1	0	85	0
0.724	1	1	73	5	1	0	85	0
0.566	1	1	57	7	1	0	85	0
0.417	1	1	42	8	1	0	85	0
0.725	1	1	73	6	1	0	85	0
0.567	1	1	57	8	1	0	85	0
0.418	1	1	42	9	1	0	85	0
0.726	1	1	73	7	1	0	85	0
0.568	1	1	57	9	1	0	85	0
0.419	1	1	42	10	1	0	85	0
0.727	1	1	73	8	1	0	85	0
0.569	1	1	57	10	1	0	85	0
0.42	1	1	43	1	1	0	85	0
0.728	1	1	73	9	1	0	85	0
0.57	1	1	58	1	1	0	85	0
0.421	1	1	43	2	1	0	85	0
0.729	1	1	73	10	1	0	85	0
0.571	1	1	58	2	1	0	85	0
0.422	1	1	43	3	1	0	85	0
0.572	1	1	58	3	1	0	85	0
0.73	1	1	74	1	1	0	85	0
0.423	1	1	43	4	1	0	85	0
0.573	1	1	58	4	1	0	85	0
0.731	1	1	74	2	1	0	85	0
0.424	1	1	43	5	1	0	85	0
0.574	1	1	58	5	1	0	85	0
0.732	1	1	74	3	1	0	85	0
