% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.146	1	0	15	7	2	8	85	0
0.146	1	0	15	7	3	12	125	0
0.146	1	0	15	7	4	2	26	0
0.146	1	0	15	7	6	28	469	0
0.147	1	0	15	8	1	14	157	0
0.147	1	0	15	8	2	8	85	0
0.147	1	0	15	8	3	12	125	0
0.147	1	0	15	8	4	2	26	0
0.147	1	0	15	8	6	28	469	0
0.148	1	0	15	9	1	14	157	0
0.148	1	0	15	9	2	8	85	0
0.148	1	0	15	9	3	12	125	0
0.148	1	0	15	9	4	2	26	0
0.148	1	0	15	9	6	28	469	0
0.149	1	0	15	10	1	14	157	0
0.149	1	0	15	10	2	8	85	0
0.149	1	0	15	10	3	12	125	0
0.149	1	0	15	10	4	2	26	0
0.149	1	0	15	10	6	28	469	0
0.15	1	0	16	1	1	14	157	0
0.15	1	0	16	1	2	8	85	0
0.15	1	0	16	1	3	12	125	0
0.15	1	0	16	1	4	2	26	0
0.15	1	0	16	1	6	28	469	0
0.151	1	0	16	2	1	14	157	0
0.151	1	0	16	2	2	8	85	0
0.151	1	0	16	2	3	12	125	0
0.151	1	0	16	2	4	2	26	0
0.151	1	0	16	2	6	28	469	0
0.152	1	0	16	3	1	14	157	0
0.152	1	0	16	3	2	8	85	0
0.152	1	0	16	3	3	12	125	0
0.152	1	0	16	3	4	2	26	0
0.152	1	0	16	3	6	28	469	0
0.153	1	0	16	4	1	14	157	0
0.153	1	0	16	4	2	8	85	0
0.153	1	0	16	4	3	12	125	0
0.153	1	0	16	4	4	2	26	0
0.153	1	0	16	4	6	28	469	0
0.154	1	0	16	5	1	14	157	0
0.154	1	0	16	5	2	8	85	0
0.154	1	0	16	5	3	12	125	0
0.154	1	0	16	5	4	2	26	0
0.154	1	0	16	5	6	28	469	0
0.155	1	0	16	6	1	14	157	0
0.155	1	0	16	6	2	8	85	0
0.155	1	0	16	6	3	12	125	0
0.155	1	0	16	6	4	2	26	0
0.155	1	0	16	6	6	28	469	0
0.156	1	0	16	7	1	14	157	0
0.156	1	0	16	7	2	8	85	0
0.156	1	0	16	7	3	12	125	0
0.156	1	0	16	7	4	2	26	0
0.156	1	0	16	7	6	28	469	0
0.157	1	0	16	8	1	14	157	0
0.157	1	0	16	8	2	8	85	0
0.157	1	0	16	8	3	12	125	0
0.157	1	0	16	8	4	2	26	0
0.157	1	0	16	8	6	28	469	0
0.158	1	0	16	9	1	14	157	0
0.158	1	0	16	9	2	8	85	0
0.158	1	0	16	9	3	12	125	0
0.158	1	0	16	9	4	2	26	0
0.158	1	0	16	9	6	28	469	0
0.159	1	0	16	10	1	14	157	0
0.159	1	0	16	10	2	8	85	0
0.159	1	0	16	10	3	12	125	0
