% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.218	1	13	22	9	3	8	421	0	0	0
0.218	1	13	22	9	3	8	421	0	0	1
0.219	1	5	22	10	4	8	421	0	0	0
0.219	1	5	22	10	4	8	421	0	0	1
0.22	1	11	23	1	9	8	421	0	0	0
0.22	1	11	23	1	9	8	421	0	0	1
0.221	1	3	23	2	10	8	421	0	0	0
0.221	1	3	23	2	10	8	421	0	0	1
0.222	1	2	23	3	11	8	421	0	0	0
0.222	1	2	23	3	11	8	421	0	0	1
0.223	1	6	23	4	12	8	421	0	0	0
0.223	1	6	23	4	12	8	421	0	0	1
0.224	1	15	23	5	18	8	421	0	0	0
0.224	1	15	23	5	18	8	421	0	0	1
0.225	1	14	23	6	19	8	421	0	0	0
0.225	1	14	23	6	19	8	421	0	0	1
0.226	1	12	23	7	20	8	421	0	0	0
0.226	1	12	23	7	20	8	421	0	0	1
0.227	1	9	23	8	21	8	421	0	0	0
0.227	1	9	23	8	21	8	421	0	0	1
0.228	1	4	23	9	22	8	421	0	0	0
0.228	1	4	23	9	22	8	421	0	0	1
0.229	1	10	23	10	23	8	421	0	0	0
0.229	1	10	23	10	23	8	421	0	0	1
0.23	1	1	24	1	24	8	421	0	0	0
0.23	1	1	24	1	24	8	421	0	0	1
0.231	1	7	24	2	1	8	421	0	0	0
0.231	1	7	24	2	1	8	421	0	0	1
0.232	1	8	24	3	2	8	421	0	0	0
0.232	1	8	24	3	2	8	421	0	0	1
0.233	1	13	24	4	3	8	421	0	0	0
0.233	1	13	24	4	3	8	421	0	0	1
0.234	1	5	24	5	4	8	421	0	0	0
0.234	1	5	24	5	4	8	421	0	0	1
0.235	1	11	24	6	9	8	421	0	0	0
0.235	1	11	24	6	9	8	421	0	0	1
0.236	1	3	24	7	10	8	421	0	0	0
0.236	1	3	24	7	10	8	421	0	0	1
0.237	1	2	24	8	11	8	421	0	0	0
0.237	1	2	24	8	11	8	421	0	0	1
0.238	1	6	24	9	12	8	421	0	0	0
0.238	1	6	24	9	12	8	421	0	0	1
0.239	1	15	24	10	18	8	421	0	0	0
0.239	1	15	24	10	18	8	421	0	0	1
0.24	1	14	25	1	19	8	421	0	0	0
0.24	1	14	25	1	19	8	421	0	0	1
0.241	1	12	25	2	20	8	421	0	0	0
0.241	1	12	25	2	20	8	421	0	0	1
0.242	1	9	25	3	21	8	421	0	0	0
0.242	1	9	25	3	21	8	421	0	0	1
0.243	1	4	25	4	22	8	421	0	0	0
0.243	1	4	25	4	22	8	421	0	0	1
0.244	1	10	25	5	23	8	421	0	0	0
0.244	1	10	25	5	23	8	421	0	0	1
0.245	1	1	25	6	24	8	421	0	0	0
0.245	1	1	25	6	24	8	421	0	0	1
0.246	1	7	25	7	1	8	421	0	0	0
