% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
70	1	9	21	0	2	18	0	1	0
70	1	12	20	0	2	18	0	1	0
70	1	14	19	0	2	18	0	1	0
70	1	15	18	0	2	18	0	1	0
70	2	5	4	0	2	18	0	1	1
70	2	2	11	0	2	18	0	1	1
70	2	3	10	0	2	18	0	1	1
70	2	6	12	0	2	18	0	1	1
70	2	11	9	0	2	18	0	1	1
70	2	12	20	0	2	18	0	1	1
70	2	14	19	0	2	18	0	1	1
70	2	15	18	0	2	18	0	1	1
71	1	1	24	0	2	18	0	1	0
71	1	3	10	0	2	18	0	1	0
71	1	5	4	0	2	18	0	1	0
71	1	7	1	0	2	18	0	1	0
71	1	8	2	0	2	18	0	1	0
71	1	10	23	0	2	18	0	1	0
71	1	11	9	0	2	18	0	1	0
71	1	13	3	0	2	18	0	1	0
71	2	5	4	0	2	18	0	1	1
71	2	7	1	0	2	18	0	1	1
71	2	8	2	0	2	18	0	1	1
71	2	13	3	0	2	18	0	1	1
71	2	9	21	0	2	18	0	1	1
71	2	1	24	0	2	18	0	1	1
71	2	4	22	0	2	18	0	1	1
71	2	10	23	0	2	18	0	1	1
72	1	2	11	0	2	18	0	1	0
72	1	4	22	0	2	18	0	1	0
72	1	6	12	0	2	18	0	1	0
72	1	9	21	0	2	18	0	1	0
72	1	10	23	0	2	18	0	1	0
72	1	12	20	0	2	18	0	1	0
72	1	14	19	0	2	18	0	1	0
72	1	15	18	0	2	18	0	1	0
72	2	2	11	0	2	18	0	1	1
72	2	3	10	0	2	18	0	1	1
72	2	6	12	0	2	18	0	1	1
72	2	11	9	0	2	18	0	1	1
72	2	9	21	0	2	18	0	1	1
72	2	12	20	0	2	18	0	1	1
72	2	14	19	0	2	18	0	1	1
72	2	15	18	0	2	18	0	1	1
73	1	1	24	0	2	18	0	1	0
73	1	2	11	0	2	18	0	1	0
73	1	3	10	0	2	18	0	1	0
73	1	5	4	0	2	18	0	1	0
73	1	7	1	0	2	18	0	1	0
73	1	8	2	0	2	18	0	1	0
73	1	11	9	0	2	18	0	1	0
73	1	13	3	0	2	18	0	1	0
73	2	5	4	0	2	18	0	1	1
73	2	7	1	0	2	18	0	1	1
73	2	8	2	0	2	18	0	1	1
73	2	13	3	0	2	18	0	1	1
73	2	11	9	0	2	18	0	1	1
73	2	1	24	0	2	18	0	1	1
73	2	4	22	0	2	18	0	1	1
73	2	10	23	0	2	18	0	1	1
74	1	1	24	0	2	18	0	1	0
74	1	4	22	0	2	18	0	1	0
74	1	6	12	0	2	18	0	1	0
74	1	9	21	0	2	18	0	1	0
74	1	10	23	0	2	18	0	1	0
74	1	12	20	0	2	18	0	1	0
74	1	14	19	0	2	18	0	1	0
74	1	15	18	0	2	18	0	1	0
74	2	2	11	0	2	18	0	1	1
74	2	3	10	0	2	18	0	1	1
74	2	6	12	0	2	18	0	1	1
74	2	9	21	0	2	18	0	1	1
74	2	12	20	0	2	18	0	1	1
74	2	14	19	0	2	18	0	1	1
74	2	15	18	0	2	18	0	1	1
74	2	4	22	0	2	18	0	1	1
75	1	2	11	0	2	18	0	1	0
75	1	3	10	0	2	18	0	1	0
